gene,1055_0001_Control,1055_0003_Control,1055_0004_Control,1055_0005_Control,1055_0006_Cre,1055_0007_Cre,1055_0008_Cre,1055_0009_Cre,1055_0010_Cre,1055_0011_Cre,1055_0012_Control
ENSMUSG00000024191_Bnip1,36.160000000000004,28.77,41.74,36.57,42.97,31.19,28.130000000000003,34.61,59.37,44.349999999999994,61.56
ENSMUSG00000024193_Phf1,8.360000000000001,4.52,4.34,5.03,2.4899999999999998,12.05,5.64,3.09,4.26,8.88,8.47
ENSMUSG00000024194_Cuta,226.32000000000002,255.89000000000001,281.97999999999996,309.36,233.97,246.5,266.42999999999995,289.65000000000003,306.34000000000003,349.38,248.81
ENSMUSG00000024197_Plin3,3.9699999999999998,2.11,7.81,3.03,7.37,5.42,1.3800000000000001,9.58,4.98,4.8,5.02
ENSMUSG00000024201_Kdm4b,12.56,5.119999999999999,9,7.73,13.9,8.84,5.2,9.709999999999999,8.49,8.03,9.18
ENSMUSG00000024205_Rpl36-ps2,0,6.53,2.94,0,6.13,5.67,6.13,3.03,0,4.76,3.18
ENSMUSG00000024208_Uqcc2,1425,1285.52,1347.84,1768.78,1542.46,1339.54,1465.6,1200.85,1442.49,1467.1899999999998,1242.58
ENSMUSG00000024211_Grm8,6.03,10.6,5.96,16.93,12.01,3.73,12.58,7.95,4.99,10.88,5.14
ENSMUSG00000024212_Mllt1,6.119999999999999,5.54,9.850000000000001,9.219999999999999,6.54,6.109999999999999,6.34,8.46,5.39,6.659999999999999,4.79
ENSMUSG00000024213_Nudt3,100.91000000000001,124.05,156.96,98.38,72.2,91.64999999999999,110.9,117.66,86.27,111.23,136.04
ENSMUSG00000024217_Snrpc,134.13,125.91000000000001,168.1,157.31,127.54,183.85000000000002,158.2,161.16,173.36,152.06,173.19
ENSMUSG00000024218_Taf11,89.74000000000001,79.55,51.3,55.43,42.87,59.720000000000006,74.93,62.42,73.31,45.65,75.16
ENSMUSG00000024219_Anks1,1.3800000000000001,0.7799999999999999,0.75,3.92,2.92,2.3899999999999997,1.47,1.73,0.8300000000000001,0.2,1.85
ENSMUSG00000024220_Zfp523,34.11,23.72,34.720000000000006,24.34,16.79,23.21,23.69,27.32,35.309999999999995,22.75,30.9
ENSMUSG00000024222_Fkbp5,5.81,1.5,1.28,2.9699999999999998,3.17,5.7700000000000005,1,5.7,3.4,3.15,6.53
ENSMUSG00000024231_Cul2,15.08,16.93,13.42,8.84,12.54,13.850000000000001,12.66,9.860000000000001,15.67,22.16,12.860000000000001
ENSMUSG00000024232_Bambi,1.87,1.96,1.1300000000000001,0.32999999999999996,1.23,1.6900000000000002,1.51,3.52,2.94,0.93,4.04
ENSMUSG00000024234_Mtpap,10.739999999999998,12.229999999999999,15.49,7.31,9.12,6.42,12.16,12.629999999999999,7.930000000000001,14.16,24.130000000000003
ENSMUSG00000024238_Zeb1,8.6,3.98,1.73,3.11,5.01,4.25,3.3299999999999996,3.08,4.930000000000001,2.15,6.3
ENSMUSG00000024240_Epc1,4.5,5.09,4.859999999999999,3.7,10.42,10.75,6.33,9.38,5.970000000000001,4.24,7.23
ENSMUSG00000024241_Sos1,2.3099999999999996,2.4299999999999997,1.59,1.82,1.6400000000000001,1.3800000000000001,1.57,2.8899999999999997,2.59,2.3899999999999997,2.66
ENSMUSG00000024242_Map4k3,10.27,8.91,14.17,11.66,11.94,5.55,8.34,11.33,7.68,8.950000000000001,12.79
ENSMUSG00000024245_Tmem178,36.63,58.25,61.6,45.63,40.41,49.379999999999995,43.43,59.25,28.68,45.839999999999996,48.91
ENSMUSG00000024246_Thumpd2,4.73,2.79,3.64,0.12000000000000001,3.5,4.23,3.8299999999999996,11.09,6.35,0.51,3.79
ENSMUSG00000024247_Pkdcc,1.6900000000000002,2.3499999999999996,1.1,1.45,2.24,0,0.1,1.86,4.17,2.23,2.05
ENSMUSG00000024248_Cox7a2l,328.57,360.53,383.69,332.18,360.66,289.11,372.5,340.21999999999997,324.96,302.46999999999997,333.68
ENSMUSG00000024251_Thada,0.74,0.38,0.73,0.18,0.54,0,0.23,0.69,0.25,0.13,0.4
ENSMUSG00000024253_Dync2li1,18.2,24.19,20.59,10.52,16.18,10.719999999999999,14.719999999999999,23.52,22.650000000000002,14.46,18.8
ENSMUSG00000024256_Adcyap1,7.48,48.39,11.4,4.01,22.95,16.73,13.5,15.98,9.04,26.27,6.87
ENSMUSG00000024258_Polr2d,71.75,67.88,83.76,92.34,83.03,52.04,76.17999999999999,79.34,109.02,62.71,105.88
ENSMUSG00000024259_Slc25a46,22.16,37.63,36.03,11.54,22.5,28.53,26.38,27.810000000000002,21.35,22.64,29.54
ENSMUSG00000024260_Sap130,4.68,3.2,2.07,3.2800000000000002,2.24,2.14,3.79,5.05,2.71,0.92,1.49
ENSMUSG00000024261_Syt4,56.96,56.4,72.97,49.190000000000005,43.97,38.57,47.1,57.57,86.97,46.39,113.1
ENSMUSG00000024268_Celf4,141.3,147.73,131.08,134.98000000000002,111.13,99.54,118.19,133.89000000000001,121.38,104.82,160.89000000000001
ENSMUSG00000024269_Tpgs2,28.5,37.61,39.07,25.51,29.06,27.87,27.479999999999997,28.09,32.21,31.25,34.61
ENSMUSG00000024270_Slc39a6,6.24,5.119999999999999,11.32,4.51,5.57,6.14,4.9,8.62,5.84,2.3,8.8
ENSMUSG00000024271_Elp2,24.77,21.18,24.919999999999998,14.219999999999999,11.28,12.44,17.82,13.08,21.37,16.03,16.1
ENSMUSG00000024273_2700062C07Rik,26.68,29.479999999999997,28.41,26.979999999999997,26.97,28.36,42.24,39.57,32.74,25.14,33.08
ENSMUSG00000024276_Zfp397,2.57,4.41,0.99,1.26,0.75,2.71,1.76,3.59,3.1,3.4099999999999997,2.7600000000000002
ENSMUSG00000024277_Mapre2,41.309999999999995,54.21,34.86,24.79,27.630000000000003,23.330000000000002,35.49,33.5,34.379999999999995,31.45,32.39
ENSMUSG00000024283_Wac,20.84,17.18,29.91,25.25,30.02,17.47,13.79,25.21,22.41,11.65,28.58
ENSMUSG00000024286_Ccny,11.97,22.84,19.53,15.01,18.830000000000002,17.279999999999998,13.639999999999999,16.43,21.27,9.77,23.47
ENSMUSG00000024287_Thoc1,13.29,11.93,10.57,10.53,11.04,4.99,13.77,13.02,12.5,7.78,9.38
ENSMUSG00000024290_Rock1,9.09,2.04,6.03,2.86,5.659999999999999,2.65,4.96,6.29,4.06,4.96,8.91
ENSMUSG00000024293_Esco1,6.930000000000001,7.6899999999999995,11.76,12.219999999999999,8.209999999999999,2.77,5.619999999999999,10.719999999999999,11.29,5.2,10.209999999999999
ENSMUSG00000024294_Mib1,9.639999999999999,8.25,10.34,9.06,5.1499999999999995,7.63,8.92,13.55,12.4,13.76,14.02
ENSMUSG00000024298_Zfp871,1.5,2.3499999999999996,0.99,1.1700000000000002,4.13,1.77,2.71,1.73,3.92,2.8899999999999997,4.109999999999999
ENSMUSG00000024299_Adamts10,1.79,2.51,2.64,5.01,9.39,7.06,1.58,3.3099999999999996,3.94,4.88,7.48
ENSMUSG00000024302_Dtna,11.639999999999999,7.81,7.79,5.109999999999999,7.1499999999999995,6.2,4.81,11.11,3.74,11,3
ENSMUSG00000024304_Cdh2,11.9,12,8.03,14.2,15.12,5.7,8.89,10.7,12.850000000000001,7.45,19.77
ENSMUSG00000024308_Tapbp,22.279999999999998,8.25,11.05,9.43,18.2,29.330000000000002,22.79,29.9,26.32,26.74,7.91
ENSMUSG00000024309_Pfdn6,328.65000000000003,382.98999999999995,408.2,498.41999999999996,393.69,369.21,401.45,369.16,354.90999999999997,489.58,512.1800000000001
ENSMUSG00000024312_Wdr46,2.7600000000000002,4.1899999999999995,1.43,2.52,1.86,7.02,2.3299999999999996,2.68,4.33,1.1300000000000001,4.26
ENSMUSG00000024317_Rnf138,3.3499999999999996,6.14,15.28,3.58,4.6499999999999995,8.870000000000001,5.48,11.48,5.71,2.2800000000000002,7.7700000000000005
ENSMUSG00000024319_Vps52,18.41,21.130000000000003,17.1,20.87,15.81,8.57,22.41,22.130000000000003,12.04,6.14,16.04
ENSMUSG00000024325_Ring1,16.939999999999998,14.01,16.6,9.93,16.62,13.76,19.419999999999998,14.01,11.219999999999999,12.4,31.24
ENSMUSG00000024327_Slc39a7,50.55,42.36,54.83,45.48,35.3,33.96,50.41,47.2,32.96,55.08,39.04
ENSMUSG00000024330_Col11a2,0.8500000000000001,0.88,0.1,0.38,0.75,0.18,1.11,0.8700000000000001,1.98,0.6,0.4
ENSMUSG00000024335_Brd2,22.03,28.49,19.02,14.950000000000001,14.15,31.2,22.439999999999998,23.69,33.98,21.93,12.04
ENSMUSG00000024338_Psmb8,9.39,5.6,11.07,0,64.75,106.01,47.13,61.03,6.24,51.49,5.38
ENSMUSG00000024339_Tap2,1.95,0.19,1.97,0,4.88,1.86,2.3899999999999997,2.2,2.79,6.29,2.13
ENSMUSG00000024346_Pfdn1,235.56,247.79,267.7,231.12,292.21999999999997,262.4,265.46,252.10999999999999,282.84000000000003,281.89,247.86
ENSMUSG00000024347_Psd2,4.29,2.67,2.96,3.8299999999999996,7.7,3.88,1.92,4.81,3.71,1.3800000000000001,3.8499999999999996
ENSMUSG00000024349_Tmem173,6.119999999999999,1.31,2.55,1.75,8.55,10.08,0.21000000000000002,3.9899999999999998,3.13,5.26,3.9899999999999998
ENSMUSG00000024350_Dnajc18,12.32,12.709999999999999,9.61,9.15,8.950000000000001,8.76,5.94,9.84,9.31,7.85,14.12
ENSMUSG00000024352_Spata24,14.350000000000001,17.82,20.110000000000003,22.86,22.58,17.34,12.09,23.830000000000002,9.25,1.82,6.26
ENSMUSG00000024357_Sil1,30.08,19.84,27.4,7.1499999999999995,33.13,18.79,17.17,17.82,18.7,25.4,21.56
ENSMUSG00000024359_Hspa9,42.9,36.82,43.36,33.15,28.66,22.68,36.53,43.61,32.93,33,52.97
ENSMUSG00000024360_Etf1,17.41,16.58,15.07,11.49,15.47,15.66,9.84,14.27,15.370000000000001,16.4,15.18
ENSMUSG00000024369_Nelfe,68.24000000000001,32.25,43.190000000000005,29.08,33.349999999999994,35.11,29.310000000000002,30.3,28.62,51.36,40.9
ENSMUSG00000024370_Cdc23,15.02,10.78,22.650000000000002,13.31,6.2700000000000005,15.84,11.19,12.350000000000001,21.1,4.91,14.93
ENSMUSG00000024378_Stard4,1.99,11.17,2.4,4.41,2.38,5.7700000000000005,3.5,2.84,1.28,9.96,0.96
ENSMUSG00000024381_Bin1,80.36999999999999,98.76,115.81,86.36,96.48,90.01,119.71000000000001,122.57,81.47,92.45,118.01
ENSMUSG00000024382_Ercc3,8.12,6.54,7.109999999999999,4.51,1.41,6.73,8.219999999999999,12.139999999999999,7.84,4.35,6.609999999999999
ENSMUSG00000024383_Map3k2,0.6,1.6400000000000001,1.54,2.75,1.51,1.86,1.02,2.54,1.97,1.7,1.9
ENSMUSG00000024384_Iws1,6.41,8.88,6.05,3.74,5.1899999999999995,6.54,7.67,5.51,7.09,3.5,5.46
ENSMUSG00000024387_Csnk2b,227.73999999999998,236.33,255.41,231.96,210.96,248.15,265.25,350.72999999999996,239.16,249.78,207.58
ENSMUSG00000024392_Bag6,25.3,23.12,15.31,30.610000000000003,28.630000000000003,17.32,20.35,29.5,27.62,18.18,40.89
ENSMUSG00000024393_Prrc2a,19.02,12.870000000000001,13.58,22.959999999999997,17.16,15.32,12.42,24.57,18.51,14.25,19.77
ENSMUSG00000024395_Lims2,7.430000000000001,5.76,12.639999999999999,6.49,9.3,6.819999999999999,0.61,15.729999999999999,2.9699999999999998,14.04,14.66
ENSMUSG00000024397_Aif1,57.730000000000004,55.96,28.830000000000002,52.78,317.58,377.12,199.22,325.37,96.88,163.86,47.43
ENSMUSG00000024400_Wdr33,23.779999999999998,24.77,33.63,13.639999999999999,25.58,29.3,28.67,31.150000000000002,25.14,22.979999999999997,27.310000000000002
ENSMUSG00000024403_Atp6v1g2,913.57,1174.86,1435.85,1228.29,669.3499999999999,861.51,969.8299999999999,981.15,846.52,990.7800000000001,1143.77
ENSMUSG00000024404_Riok3,15.58,7.6899999999999995,5.06,4.68,9.12,7.79,9.34,9.6,9.15,8.7,15.05
ENSMUSG00000024410_3110002H16Rik,14.98,24.29,18.82,7.76,18.8,17.41,11.84,19.25,22.67,25.74,11.51
ENSMUSG00000024411_Aqp4,7.2700000000000005,1.99,2.24,0.7,11.77,23.72,9.77,27.810000000000002,10.02,6.18,4.44
ENSMUSG00000024413_Npc1,7.14,5.59,5.319999999999999,2.8,6.26,4.319999999999999,7.1899999999999995,9.129999999999999,5.970000000000001,4.54,6.57
ENSMUSG00000024414_Mrpl27,386.19,328.25,349.57,348.58,353.97999999999996,370.1,368.16,269.48999999999995,380.41999999999996,340.89,337.95
ENSMUSG00000024422_Dhx16,16,5.55,3.09,3.07,13.19,5.38,7.470000000000001,9.67,14.370000000000001,4.25,19.08
ENSMUSG00000024423_Impact,82.16999999999999,89.14999999999999,66.39,66.14,54.230000000000004,57.98,54.730000000000004,60.68,63.57,51.78,66.82
