gene,1011_0001_CSS,1011_0002_Control,1011_0003_Control,1011_0004_CSS,1011_0005_Control,1011_0006_Control,1011_0007_CSS,1011_0008_CSS,1011_0009_Control,1011_0010_Control,1011_0011_CSS,1011_0012_CSS,1011_0013_CSS,1011_0014_CSS,1011_0015_CSS,1011_0016_CSS,1011_0017_CSS,1011_0018_CSS,1011_0019_Control,1011_0020_Control,1011_0021_CSS,1011_0022_CSS,1011_0023_CSS,1011_0024_CSS
ENSMUSG00000011114_Tbrg1,69.03,49.18,52.3,59.67,73.17999999999999,55.190000000000005,52.41,56.89,67.47,72.13,60.160000000000004,57.65,72.8,65.76,89.47,44.09,93.33,54.75,62.42,49.230000000000004,41.99,57.790000000000006,65.55,57.27
ENSMUSG00000011148_Adssl1,3.2,3.4699999999999998,16.35,0,0.88,9.229999999999999,4.2,3.51,14.07,5.59,12.3,4.119999999999999,14.78,5.53,6.4,3.5,5.24,7.45,2.29,5.95,2.17,9.04,10.49,8.62
ENSMUSG00000011158_Brf1,16.75,11.32,16.7,7.7700000000000005,14.89,20.150000000000002,13.729999999999999,13.739999999999998,9.57,14.850000000000001,13.729999999999999,15.58,15.98,7.89,14.75,12.34,18.41,24.830000000000002,11.450000000000001,12.33,8.44,16,15.51,7.63
ENSMUSG00000011179_Odc1,33.57,37.190000000000005,26.630000000000003,17.27,36.57,38.220000000000006,26.04,30.779999999999998,27.8,32.5,42.120000000000005,17.87,51.4,19.57,32.94,21.87,27.8,30.75,24.650000000000002,31.3,40.56,29.1,41.809999999999995,31.810000000000002
ENSMUSG00000011254_Thg1l,0.5700000000000001,2.18,2.9899999999999998,2.7800000000000002,3.74,1.93,3.79,3.3,0.8600000000000001,4.78,1.24,1.11,4.37,3.03,3.7,7.37,3.3,3.02,4,3.15,2.04,4.21,4.89,0.8500000000000001
ENSMUSG00000011256_Adam19,3.07,3.2800000000000002,1.62,0.8700000000000001,0.8500000000000001,0.56,2.4299999999999997,2.46,1.6,1.03,2.3099999999999996,2.56,0.1,1.62,0.75,2.23,1.8,1.56,2.69,3.14,3.46,0.65,0.6699999999999999,0.08
ENSMUSG00000011257_Pabpc4,3.75,11.76,4.2,4.91,4.930000000000001,3.8499999999999996,9.62,10.350000000000001,2.57,14.19,5.1,13.12,13.16,14.77,10.79,8.18,4.25,7.109999999999999,5.54,7.68,8.79,8.01,9.77,7.44
ENSMUSG00000011267_Zfp296,4.87,11.3,7.7,10.44,5.56,11.47,14.11,6.4,10.41,9.75,5.31,10.639999999999999,8.370000000000001,8.78,11.46,5.51,7.930000000000001,3.9699999999999998,9.870000000000001,4.68,9.34,5.28,10.7,2.08
ENSMUSG00000011306_Sugp1,11.53,27.130000000000003,18.74,9.9,18.38,19.68,18.1,21.4,25.89,15.360000000000001,26.630000000000003,12.239999999999998,27.259999999999998,14.83,37.64,20.110000000000003,25.41,23.32,21.45,13.360000000000001,21.62,29.259999999999998,18.37,16.68
ENSMUSG00000011382_Dhdh,0.65,0.42000000000000004,0.37,0.5,0.22,0.18,0.17,1.54,1.8,0.26,0.38,0.32,2.13,0.6,1.34,0.7899999999999999,1.5,0.53,0.9400000000000001,0.65,0.74,2.6,0.8700000000000001,3.7800000000000002
ENSMUSG00000011427_Zfp790,1.31,1.7,1.31,1.59,4.159999999999999,6.34,3.57,1.52,0.72,3.9899999999999998,4.67,0.92,2.4,3.02,5,1.61,3.58,0.6799999999999999,2.4899999999999998,1.6800000000000002,3.9099999999999997,5.2700000000000005,8.4,0.16
ENSMUSG00000011589_Fsd1,66.8,43.74,66.4,54.78,43.620000000000005,63.660000000000004,59.83,58.75,59.59,58.3,53.82,51.92,74.32,37.28,61.809999999999995,36.53,69.35,58.02,38.6,72.75,68.73,52.32,56.56,69.71000000000001
ENSMUSG00000011658_Fuz,11.1,25.85,19.12,25.43,23.5,26.82,19.29,16.439999999999998,12.69,22.130000000000003,28.18,21.52,26.89,23.1,22.3,27.69,29.439999999999998,21.64,18.939999999999998,19.34,18.04,21.439999999999998,8.96,16.150000000000002
